Retailer,Retailer ID,Region,State,City,Product,Price per Unit,Unit Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,In-store
Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,0.3,In-store
Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,0.35,In-store
Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875,0.35,In-store
Foot Locker,1185732,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,In-store
Foot Locker,1185732,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,In-store
Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,312500,0.5,In-store
Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129938,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,50,1220,610000,305000,0.5,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,50,925,462500,138750,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,126000,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Apparel,60,850,510000,153000,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,40,900,360000,126000,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129938,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Apparel,60,825,495000,148500,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,60,1220,732000,366000,0.5,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,55,925,508750,152625,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Apparel,60,875,525000,157500,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet
Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet
Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet
