Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Mens Street Footwear,50.00 ,"1,200",600000 ,300000 ,50,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Mens Athletic Footwear,50.00 ,"1,000",500000 ,150000 ,30,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Womens Street Footwear,40.00 ,"1,000",400000 ,140000 ,35,In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Womens Athletic Footwear,45.00 ,850,382500 ,133875 ,35,In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Mens Apparel,60.00 ,900,540000 ,162000 ,30,In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Womens Apparel,50.00 ,"1,000",500000 ,125000 ,25,In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Mens Street Footwear,50.00 ,"1,250",625000 ,312500 ,50,In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Mens Athletic Footwear,50.00 ,900,450000 ,135000 ,30,Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Womens Street Footwear,40.00 ,950,380000 ,133000 ,35,Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Womens Athletic Footwear,45.00 ,825,371250 ,129938 ,35,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Mens Apparel,60.00 ,900,540000 ,162000 ,30,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Womens Apparel,50.00 ,"1,000",500000 ,125000 ,25,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Mens Street Footwear,50.00 ,"1,220",610000 ,305000 ,50,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Mens Athletic Footwear,50.00 ,925,462500 ,138750 ,30,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Womens Street Footwear,40.00 ,950,380000 ,133000 ,35,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Womens Athletic Footwear,45.00 ,800,360000 ,126000 ,35,Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Mens Apparel,60.00 ,850,510000 ,153000 ,30,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Womens Apparel,50.00 ,950,475000 ,118750 ,25,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Mens Street Footwear,50.00 ,"1,200",600000 ,300000 ,50,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Mens Athletic Footwear,50.00 ,900,450000 ,135000 ,30,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Womens Street Footwear,40.00 ,900,360000 ,126000 ,35,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Womens Athletic Footwear,45.00 ,825,371250 ,129938 ,35,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Mens Apparel,60.00 ,825,495000 ,148500 ,30,Outlet
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Womens Apparel,50.00 ,950,475000 ,118750 ,25,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Mens Street Footwear,60.00 ,"1,220",732000 ,366000 ,50,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Mens Athletic Footwear,55.00 ,925,508750 ,152625 ,30,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Womens Street Footwear,50.00 ,900,450000 ,157500 ,35,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Womens Athletic Footwear,50.00 ,850,425000 ,148750 ,35,Outlet
